Date,Heure,Nouvelles bouteilles,Bouteilles dans corbeille
3/13/2025,2:22:26,1,1
3/13/2025,2:22:32,1,2
3/13/2025,2:22:40,2,4
3/13/2025,2:22:45,1,5
3/13/2025,2:22:59,1,6
2025-03-13,16:10:49,2,2
2025-03-13,16:11:09,1,3
2025-03-13,16:11:12,1,4
2025-03-13,16:11:24,1,5
2025-03-13,16:11:33,1,6
2025-03-13,16:11:40,1,7
2025-03-13,16:11:43,1,8
2025-03-13,16:11:47,1,9
2025-03-13,16:11:54,1,10
2025-03-13,16:12:04,1,11
2025-03-13,16:12:12,1,12
2025-03-13,16:17:46,2,2
2025-03-13,16:17:50,2,4
2025-03-13,16:18:02,1,5
2025-03-13,16:18:05,1,6
2025-03-13,16:18:09,2,8
2025-03-13,16:18:13,1,9
2025-03-13,16:18:24,1,10
